transaction_id,scenario,expected_outcome,expected_settlement_id,expected_refund_id,notes
TXN000001,PERFECT_MATCH,MATCHED,SET000001,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000002,PERFECT_MATCH,MATCHED,SET000002,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000003,PERFECT_MATCH,MATCHED,SET000003,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000004,PERFECT_MATCH,MATCHED,SET000004,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000005,PERFECT_MATCH,MATCHED,SET000005,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000006,PERFECT_MATCH,MATCHED,SET000006,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000007,PERFECT_MATCH,MATCHED,SET000007,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000008,PERFECT_MATCH,MATCHED,SET000008,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000009,PERFECT_MATCH,MATCHED,SET000009,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000010,PERFECT_MATCH,MATCHED,SET000010,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000011,PERFECT_MATCH,MATCHED,SET000011,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000012,PERFECT_MATCH,MATCHED,SET000012,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000013,PERFECT_MATCH,MATCHED,SET000013,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000014,PERFECT_MATCH,MATCHED,SET000014,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000015,PERFECT_MATCH,MATCHED,SET000015,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000016,PERFECT_MATCH,MATCHED,SET000016,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000017,PERFECT_MATCH,MATCHED,SET000017,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000018,PERFECT_MATCH,MATCHED,SET000018,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000019,PERFECT_MATCH,MATCHED,SET000019,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000020,PERFECT_MATCH,MATCHED,SET000020,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000021,PERFECT_MATCH,MATCHED,SET000021,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000022,PERFECT_MATCH,MATCHED,SET000022,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000023,PERFECT_MATCH,MATCHED,SET000023,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000024,PERFECT_MATCH,MATCHED,SET000024,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000025,PERFECT_MATCH,MATCHED,SET000025,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000026,PERFECT_MATCH,MATCHED,SET000026,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000027,PERFECT_MATCH,MATCHED,SET000027,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000028,PERFECT_MATCH,MATCHED,SET000028,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000029,PERFECT_MATCH,MATCHED,SET000029,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000030,PERFECT_MATCH,MATCHED,SET000030,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000031,PERFECT_MATCH,MATCHED,SET000031,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000032,PERFECT_MATCH,MATCHED,SET000032,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000033,PERFECT_MATCH,MATCHED,SET000033,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000034,PERFECT_MATCH,MATCHED,SET000034,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000035,PERFECT_MATCH,MATCHED,SET000035,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000036,PERFECT_MATCH,MATCHED,SET000036,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000037,PERFECT_MATCH,MATCHED,SET000037,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000038,PERFECT_MATCH,MATCHED,SET000038,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000039,PERFECT_MATCH,MATCHED,SET000039,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000040,PERFECT_MATCH,MATCHED,SET000040,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000041,PERFECT_MATCH,MATCHED,SET000041,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000042,PERFECT_MATCH,MATCHED,SET000042,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000043,PERFECT_MATCH,MATCHED,SET000043,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000044,PERFECT_MATCH,MATCHED,SET000044,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000045,PERFECT_MATCH,MATCHED,SET000045,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000046,PERFECT_MATCH,MATCHED,SET000046,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000047,PERFECT_MATCH,MATCHED,SET000047,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000048,PERFECT_MATCH,MATCHED,SET000048,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000049,PERFECT_MATCH,MATCHED,SET000049,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000050,PERFECT_MATCH,MATCHED,SET000050,NONE,"Exact match on ID, merchant, currency, and amount within standard settlement window."
TXN000051,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000051,NONE,Synthetic MDR fee deduction (3.00%): ₹1000.00 -> ₹970.00 (Fee: ₹30.00).
TXN000052,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000052,NONE,Synthetic MDR fee deduction (2.900%): ₹8000.00 -> ₹7768.00 (Fee: ₹232.00).
TXN000053,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000053,NONE,Synthetic MDR fee deduction (3.00%): ₹2500.00 -> ₹2425.00 (Fee: ₹75.00).
TXN000054,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000054,NONE,Synthetic MDR fee deduction (2.900%): ₹5000.00 -> ₹4855.00 (Fee: ₹145.00).
TXN000055,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000055,NONE,Synthetic MDR fee deduction (2.00%): ₹1000.00 -> ₹980.00 (Fee: ₹20.00).
TXN000056,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000056,NONE,Synthetic MDR fee deduction (2.00%): ₹1000.00 -> ₹980.00 (Fee: ₹20.00).
TXN000057,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000057,NONE,Synthetic MDR fee deduction (2.00%): ₹10000.00 -> ₹9800.00 (Fee: ₹200.00).
TXN000058,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000058,NONE,Synthetic MDR fee deduction (3.00%): ₹1000.00 -> ₹970.00 (Fee: ₹30.00).
TXN000059,FEE_DISCREPANCY,AMOUNT_MISMATCH,SET000059,NONE,Synthetic MDR fee deduction (2.900%): ₹2500.00 -> ₹2427.50 (Fee: ₹72.50).
